"municipio","data","taxa_desemprego","fonte","taxa_informalidade","desemprego_informalidade"
"Aracaju (SE)","2002-03",,,,
"Belo Horizonte (MG)","2002-03",12.7659574468085,"PME",,
"Belém (PA)","2002-03",,,,
"Brasília (DF)","2002-03",,,,
"Campo Grande (MS)","2002-03",,,,
"Curitiba (PR)","2002-03",,,,
"Fortaleza (CE)","2002-03",,,,
"Goiânia (GO)","2002-03",,,,
"Grande Vitória (ES)","2002-03",,,,
"Porto Alegre (RS)","2002-03",10.0246002460025,"PME",,
"Recife (PE)","2002-03",13.815318539728,"PME",,
"Rio Branco (AC)","2002-03",,,,
"Rio de Janeiro (RJ)","2002-03",10.791788856305,"PME",,
"Salvador (BA)","2002-03",17.4592391304348,"PME",,
"São Luís (MA)","2002-03",,,,
"São Paulo (SP)","2002-03",13.7886293937249,"PME",,
"Aracaju (SE)","2002-04",,,,
"Belo Horizonte (MG)","2002-04",11.6171954964176,"PME",,
"Belém (PA)","2002-04",,,,
"Brasília (DF)","2002-04",,,,
"Campo Grande (MS)","2002-04",,,,
"Curitiba (PR)","2002-04",,,,
"Fortaleza (CE)","2002-04",,,,
"Goiânia (GO)","2002-04",,,,
"Grande Vitória (ES)","2002-04",,,,
"Porto Alegre (RS)","2002-04",10.1258238466147,"PME",,
"Recife (PE)","2002-04",13.5568513119534,"PME",,
"Rio Branco (AC)","2002-04",,,,
"Rio de Janeiro (RJ)","2002-04",10.484496124031,"PME",,
"Salvador (BA)","2002-04",15.8783783783784,"PME",,
"São Luís (MA)","2002-04",,,,
"São Paulo (SP)","2002-04",13.579370712089,"PME",,
"Aracaju (SE)","2002-05",,,,
"Belo Horizonte (MG)","2002-05",10.8606557377049,"PME",,
"Belém (PA)","2002-05",,,,
"Brasília (DF)","2002-05",,,,
"Campo Grande (MS)","2002-05",,,,
"Curitiba (PR)","2002-05",,,,
"Fortaleza (CE)","2002-05",,,,
"Goiânia (GO)","2002-05",,,,
"Grande Vitória (ES)","2002-05",,,,
"Porto Alegre (RS)","2002-05",9.93456276026175,"PME",,
"Recife (PE)","2002-05",12.6750184229919,"PME",,
"Rio Branco (AC)","2002-05",,,,
"Rio de Janeiro (RJ)","2002-05",10.9007458405049,"PME",,
"Salvador (BA)","2002-05",16.0460392687881,"PME",,
"São Luís (MA)","2002-05",,,,
"São Paulo (SP)","2002-05",12.1772547135823,"PME",,
"Aracaju (SE)","2002-06",,,,
"Belo Horizonte (MG)","2002-06",10.5236656596173,"PME",,
"Belém (PA)","2002-06",,,,
"Brasília (DF)","2002-06",,,,
"Campo Grande (MS)","2002-06",,,,
"Curitiba (PR)","2002-06",,,,
"Fortaleza (CE)","2002-06",,,,
"Goiânia (GO)","2002-06",,,,
"Grande Vitória (ES)","2002-06",,,,
"Porto Alegre (RS)","2002-06",8.70588235294118,"PME",,
"Recife (PE)","2002-06",12.3030757689422,"PME",,
"Rio Branco (AC)","2002-06",,,,
"Rio de Janeiro (RJ)","2002-06",10.1390498261877,"PME",,
"Salvador (BA)","2002-06",15.0879566982409,"PME",,
"São Luís (MA)","2002-06",,,,
"São Paulo (SP)","2002-06",12.5342221164147,"PME",,
"Aracaju (SE)","2002-07",,,,
"Belo Horizonte (MG)","2002-07",10.4794859120119,"PME",,
"Belém (PA)","2002-07",,,,
"Brasília (DF)","2002-07",,,,
"Campo Grande (MS)","2002-07",,,,
"Curitiba (PR)","2002-07",,,,
"Fortaleza (CE)","2002-07",,,,
"Goiânia (GO)","2002-07",,,,
"Grande Vitória (ES)","2002-07",,,,
"Porto Alegre (RS)","2002-07",8.56144437973209,"PME",,
"Recife (PE)","2002-07",12.1370067014147,"PME",,
"Rio Branco (AC)","2002-07",,,,
"Rio de Janeiro (RJ)","2002-07",10.204870506378,"PME",,
"Salvador (BA)","2002-07",14.7098515519568,"PME",,
"São Luís (MA)","2002-07",,,,
"São Paulo (SP)","2002-07",13.2683041485486,"PME",,
"Aracaju (SE)","2002-08",,,,
"Belo Horizonte (MG)","2002-08",11.284046692607,"PME",,
"Belém (PA)","2002-08",,,,
"Brasília (DF)","2002-08",,,,
"Campo Grande (MS)","2002-08",,,,
"Curitiba (PR)","2002-08",,,,
"Fortaleza (CE)","2002-08",,,,
"Goiânia (GO)","2002-08",,,,
"Grande Vitória (ES)","2002-08",,,,
"Porto Alegre (RS)","2002-08",7.71909460243761,"PME",,
"Recife (PE)","2002-08",11.9155354449472,"PME",,
"Rio Branco (AC)","2002-08",,,,
"Rio de Janeiro (RJ)","2002-08",10.0606290261463,"PME",,
"Salvador (BA)","2002-08",14.35124508519,"PME",,
"São Luís (MA)","2002-08",,,,
"São Paulo (SP)","2002-08",13.0948245918722,"PME",,
"Aracaju (SE)","2002-09",,,,
"Belo Horizonte (MG)","2002-09",10.5491329479769,"PME",,
"Belém (PA)","2002-09",,,,
"Brasília (DF)","2002-09",,,,
"Campo Grande (MS)","2002-09",,,,
"Curitiba (PR)","2002-09",,,,
"Fortaleza (CE)","2002-09",,,,
"Goiânia (GO)","2002-09",,,,
"Grande Vitória (ES)","2002-09",,,,
"Porto Alegre (RS)","2002-09",8.35768556399766,"PME",,
"Recife (PE)","2002-09",12.043795620438,"PME",,
"Rio Branco (AC)","2002-09",,,,
"Rio de Janeiro (RJ)","2002-09",9.65131959160085,"PME",,
"Salvador (BA)","2002-09",14.2857142857143,"PME",,
"São Luís (MA)","2002-09",,,,
"São Paulo (SP)","2002-09",12.7931034482759,"PME",,
"Aracaju (SE)","2002-10",,,,
"Belo Horizonte (MG)","2002-10",9.43938667944418,"PME",,
"Belém (PA)","2002-10",,,,
"Brasília (DF)","2002-10",,,,
"Campo Grande (MS)","2002-10",,,,
"Curitiba (PR)","2002-10",,,,
"Fortaleza (CE)","2002-10",,,,
"Goiânia (GO)","2002-10",,,,
"Grande Vitória (ES)","2002-10",,,,
"Porto Alegre (RS)","2002-10",8.48036425725669,"PME",,
"Recife (PE)","2002-10",12.7982646420824,"PME",,
"Rio Branco (AC)","2002-10",,,,
"Rio de Janeiro (RJ)","2002-10",9.68851519205045,"PME",,
"Salvador (BA)","2002-10",13.3552631578947,"PME",,
"São Luís (MA)","2002-10",,,,
"São Paulo (SP)","2002-10",12.3205878975772,"PME",,
"Aracaju (SE)","2002-11",,,,
"Belo Horizonte (MG)","2002-11",9.44309927360775,"PME",,
"Belém (PA)","2002-11",,,,
"Brasília (DF)","2002-11",,,,
"Campo Grande (MS)","2002-11",,,,
"Curitiba (PR)","2002-11",,,,
"Fortaleza (CE)","2002-11",,,,
"Goiânia (GO)","2002-11",,,,
"Grande Vitória (ES)","2002-11",,,,
"Porto Alegre (RS)","2002-11",7.90067720090294,"PME",,
"Recife (PE)","2002-11",12.5269978401728,"PME",,
"Rio Branco (AC)","2002-11",,,,
"Rio de Janeiro (RJ)","2002-11",9.4684701847971,"PME",,
"Salvador (BA)","2002-11",13.6423841059603,"PME",,
"São Luís (MA)","2002-11",,,,
"São Paulo (SP)","2002-11",11.9180421172453,"PME",,
"Aracaju (SE)","2002-12",,,,
"Belo Horizonte (MG)","2002-12",8.30019880715706,"PME",,
"Belém (PA)","2002-12",,,,
"Brasília (DF)","2002-12",,,,
"Campo Grande (MS)","2002-12",,,,
"Curitiba (PR)","2002-12",,,,
"Fortaleza (CE)","2002-12",,,,
"Goiânia (GO)","2002-12",,,,
"Grande Vitória (ES)","2002-12",,,,
"Porto Alegre (RS)","2002-12",7.43321718931475,"PME",,
"Recife (PE)","2002-12",11.2400290065265,"PME",,
"Rio Branco (AC)","2002-12",,,,
"Rio de Janeiro (RJ)","2002-12",8.84010102972605,"PME",,
"Salvador (BA)","2002-12",14.7572815533981,"PME",,
"São Luís (MA)","2002-12",,,,
"São Paulo (SP)","2002-12",11.673731240692,"PME",,
"Aracaju (SE)","2003-01",,,,
"Belo Horizonte (MG)","2003-01",9.67898832684825,"PME",,
"Belém (PA)","2003-01",,,,
"Brasília (DF)","2003-01",,,,
"Campo Grande (MS)","2003-01",,,,
"Curitiba (PR)","2003-01",,,,
"Fortaleza (CE)","2003-01",,,,
"Goiânia (GO)","2003-01",,,,
"Grande Vitória (ES)","2003-01",,,,
"Porto Alegre (RS)","2003-01",7.92540792540793,"PME",,
"Recife (PE)","2003-01",11.6491228070175,"PME",,
