"municipio","data","taxa_desemprego","fonte","taxa_informalidade","desemprego_informalidade"
"Aracaju (SE)","2002-01",,,,
"Belo Horizonte (MG)","2002-01",12.77,"PME",,
"Belém (PA)","2002-01",,,,
"Brasília (DF)","2002-01",,,,
"Campo Grande (MS)","2002-01",,,,
"Curitiba (PR)","2002-01",,,,
"Fortaleza (CE)","2002-01",,,,
"Goiânia (GO)","2002-01",,,,
"Grande Vitória (ES)","2002-01",,,,
"Porto Alegre (RS)","2002-01",10.02,"PME",,
"Recife (PE)","2002-01",13.82,"PME",,
"Rio Branco (AC)","2002-01",,,,
"Rio de Janeiro (RJ)","2002-01",10.79,"PME",,
"Salvador (BA)","2002-01",17.46,"PME",,
"São Luís (MA)","2002-01",,,,
"São Paulo (SP)","2002-01",13.79,"PME",,
"Aracaju (SE)","2002-02",,,,
"Belo Horizonte (MG)","2002-02",11,"PME",,
"Belém (PA)","2002-02",,,,
"Brasília (DF)","2002-02",,,,
"Campo Grande (MS)","2002-02",,,,
"Curitiba (PR)","2002-02",,,,
"Fortaleza (CE)","2002-02",,,,
"Goiânia (GO)","2002-02",,,,
"Grande Vitória (ES)","2002-02",,,,
"Porto Alegre (RS)","2002-02",9.58,"PME",,
"Recife (PE)","2002-02",12.85,"PME",,
"Rio Branco (AC)","2002-02",,,,
"Rio de Janeiro (RJ)","2002-02",10.51,"PME",,
"Salvador (BA)","2002-02",15.67,"PME",,
"São Luís (MA)","2002-02",,,,
"São Paulo (SP)","2002-02",12.77,"PME",,
"Aracaju (SE)","2002-03",,,,
"Belo Horizonte (MG)","2002-03",10.77,"PME",,
"Belém (PA)","2002-03",,,,
"Brasília (DF)","2002-03",,,,
"Campo Grande (MS)","2002-03",,,,
"Curitiba (PR)","2002-03",,,,
"Fortaleza (CE)","2002-03",,,,
"Goiânia (GO)","2002-03",,,,
"Grande Vitória (ES)","2002-03",,,,
"Porto Alegre (RS)","2002-03",8.21,"PME",,
"Recife (PE)","2002-03",12.03,"PME",,
"Rio Branco (AC)","2002-03",,,,
"Rio de Janeiro (RJ)","2002-03",9.97,"PME",,
"Salvador (BA)","2002-03",14.45,"PME",,
"São Luís (MA)","2002-03",,,,
"São Paulo (SP)","2002-03",13.05,"PME",,
"Aracaju (SE)","2002-04",,,,
"Belo Horizonte (MG)","2002-04",9.07,"PME",,
"Belém (PA)","2002-04",,,,
"Brasília (DF)","2002-04",,,,
"Campo Grande (MS)","2002-04",,,,
"Curitiba (PR)","2002-04",,,,
"Fortaleza (CE)","2002-04",,,,
"Goiânia (GO)","2002-04",,,,
"Grande Vitória (ES)","2002-04",,,,
"Porto Alegre (RS)","2002-04",7.94,"PME",,
"Recife (PE)","2002-04",12.19,"PME",,
"Rio Branco (AC)","2002-04",,,,
"Rio de Janeiro (RJ)","2002-04",9.34,"PME",,
"Salvador (BA)","2002-04",13.92,"PME",,
"São Luís (MA)","2002-04",,,,
"São Paulo (SP)","2002-04",11.97,"PME",,
"Aracaju (SE)","2003-01",,,,
"Belo Horizonte (MG)","2003-01",9.97,"PME",,
"Belém (PA)","2003-01",,,,
"Brasília (DF)","2003-01",,,,
"Campo Grande (MS)","2003-01",,,,
"Curitiba (PR)","2003-01",,,,
"Fortaleza (CE)","2003-01",,,,
"Goiânia (GO)","2003-01",,,,
"Grande Vitória (ES)","2003-01",,,,
"Porto Alegre (RS)","2003-01",8.84,"PME",,
"Recife (PE)","2003-01",12.17,"PME",,
"Rio Branco (AC)","2003-01",,,,
"Rio de Janeiro (RJ)","2003-01",8.64,"PME",,
"Salvador (BA)","2003-01",15.43,"PME",,
"São Luís (MA)","2003-01",,,,
"São Paulo (SP)","2003-01",13.46,"PME",,
"Aracaju (SE)","2003-02",,,,
"Belo Horizonte (MG)","2003-02",11.09,"PME",,
"Belém (PA)","2003-02",,,,
"Brasília (DF)","2003-02",,,,
"Campo Grande (MS)","2003-02",,,,
"Curitiba (PR)","2003-02",,,,
"Fortaleza (CE)","2003-02",,,,
"Goiânia (GO)","2003-02",,,,
"Grande Vitória (ES)","2003-02",,,,
"Porto Alegre (RS)","2003-02",10,"PME",,
"Recife (PE)","2003-02",14.73,"PME",,
"Rio Branco (AC)","2003-02",,,,
"Rio de Janeiro (RJ)","2003-02",9.53,"PME",,
"Salvador (BA)","2003-02",17.18,"PME",,
"São Luís (MA)","2003-02",,,,
"São Paulo (SP)","2003-02",14.39,"PME",,
"Aracaju (SE)","2003-03",,,,
"Belo Horizonte (MG)","2003-03",11.41,"PME",,
