ano,mes,id_municipio,cnae_divisao,saldo_municipio,fonte
2007,1,1200401,00,-409,antigo
2007,1,1200401,01,-1,antigo
2007,1,1200401,41,-1,antigo
2007,1,1200401,43,-2,antigo
2007,1,1200401,45,3,antigo
2007,1,1200401,47,4,antigo
2007,1,1200401,49,27,antigo
2007,1,1200401,55,2,antigo
2007,1,1200401,56,14,antigo
2007,1,1200401,63,17,antigo
2007,1,1200401,77,1,antigo
2007,1,1200401,82,2,antigo
2007,1,1200401,85,7,antigo
2007,1,1200401,86,1,antigo
2007,1,1200401,95,2,antigo
2007,1,1200401,96,1,antigo
2007,1,1200401,97,1,antigo
2007,2,1200401,00,-33,antigo
2007,2,1200401,01,1,antigo
2007,2,1200401,10,-12,antigo
2007,2,1200401,46,5,antigo
2007,2,1200401,47,2,antigo
2007,2,1200401,49,-1,antigo
2007,2,1200401,52,1,antigo
2007,2,1200401,56,3,antigo
2007,2,1200401,61,1,antigo
2007,2,1200401,95,1,antigo
2007,3,1200401,00,208,antigo
2007,3,1200401,01,0,antigo
2007,3,1200401,10,25,antigo
2007,3,1200401,18,1,antigo
2007,3,1200401,31,1,antigo
2007,3,1200401,41,-7,antigo
2007,3,1200401,45,3,antigo
2007,3,1200401,46,7,antigo
2007,3,1200401,47,6,antigo
2007,3,1200401,52,1,antigo
2007,3,1200401,56,0,antigo
2007,3,1200401,61,1,antigo
2007,3,1200401,77,1,antigo
2007,3,1200401,86,1,antigo
2007,3,1200401,87,0,antigo
2007,3,1200401,94,-1,antigo
2007,3,1200401,96,1,antigo
2007,4,1200401,00,192,antigo
2007,4,1200401,10,-4,antigo
2007,4,1200401,16,4,antigo
2007,4,1200401,29,1,antigo
2007,4,1200401,31,-1,antigo
2007,4,1200401,45,6,antigo
2007,4,1200401,46,-1,antigo
2007,4,1200401,47,-2,antigo
2007,4,1200401,52,-2,antigo
2007,4,1200401,53,-1,antigo
2007,4,1200401,65,-1,antigo
2007,4,1200401,70,1,antigo
2007,4,1200401,77,0,antigo
2007,4,1200401,82,-1,antigo
2007,4,1200401,85,-1,antigo
2007,4,1200401,86,1,antigo
2007,4,1200401,94,1,antigo
2007,4,1200401,95,-1,antigo
2007,5,1200401,00,-104,antigo
2007,5,1200401,10,3,antigo
2007,5,1200401,11,-18,antigo
2007,5,1200401,16,-3,antigo
2007,5,1200401,31,-1,antigo
2007,5,1200401,41,-5,antigo
2007,5,1200401,45,0,antigo
2007,5,1200401,46,-2,antigo
2007,5,1200401,47,4,antigo
2007,5,1200401,52,-1,antigo
2007,5,1200401,56,9,antigo
2007,5,1200401,63,1,antigo
2007,5,1200401,82,-1,antigo
2007,5,1200401,94,0,antigo
2007,5,1200401,96,-1,antigo
2007,6,1200401,00,254,antigo
2007,6,1200401,01,0,antigo
2007,6,1200401,08,4,antigo
2007,6,1200401,10,8,antigo
2007,6,1200401,16,-1,antigo
2007,6,1200401,23,13,antigo
2007,6,1200401,29,3,antigo
2007,6,1200401,36,2,antigo
2007,6,1200401,41,-1,antigo
2007,6,1200401,43,1,antigo
2007,6,1200401,45,5,antigo
2007,6,1200401,46,4,antigo
2007,6,1200401,47,33,antigo
2007,6,1200401,49,6,antigo
2007,6,1200401,55,3,antigo
2007,6,1200401,56,2,antigo
2007,6,1200401,61,-1,antigo
2007,6,1200401,63,2,antigo
2007,6,1200401,77,1,antigo
2007,6,1200401,85,4,antigo
2007,6,1200401,94,-1,antigo
2007,6,1200401,96,1,antigo
2007,7,1200401,00,-223,antigo
2007,7,1200401,01,-2,antigo
2007,7,1200401,10,44,antigo
2007,7,1200401,11,0,antigo
2007,7,1200401,14,-1,antigo
2007,7,1200401,23,1,antigo
2007,7,1200401,41,-20,antigo
2007,7,1200401,43,1,antigo
2007,7,1200401,45,-3,antigo
2007,7,1200401,46,5,antigo
2007,7,1200401,47,16,antigo
2007,7,1200401,49,0,antigo
2007,7,1200401,56,13,antigo
2007,7,1200401,61,-1,antigo
2007,7,1200401,77,1,antigo
2007,7,1200401,81,-1,antigo
2007,7,1200401,82,1,antigo
2007,7,1200401,85,-1,antigo
2007,7,1200401,86,5,antigo
2007,7,1200401,94,1,antigo
2007,7,1200401,96,1,antigo
2007,7,1200401,97,1,antigo
2007,8,1200401,00,-113,antigo
2007,8,1200401,01,5,antigo
2007,8,1200401,10,8,antigo
2007,8,1200401,11,0,antigo
2007,8,1200401,23,3,antigo
2007,8,1200401,31,8,antigo
2007,8,1200401,41,-3,antigo
2007,8,1200401,45,3,antigo
2007,8,1200401,46,1,antigo
2007,8,1200401,47,12,antigo
2007,8,1200401,49,11,antigo
2007,8,1200401,56,2,antigo
2007,8,1200401,61,0,antigo
2007,8,1200401,63,-2,antigo
2007,8,1200401,68,-2,antigo
2007,8,1200401,69,0,antigo
2007,8,1200401,77,0,antigo
2007,8,1200401,79,1,antigo
2007,8,1200401,85,-1,antigo
2007,8,1200401,86,4,antigo
2007,8,1200401,94,-4,antigo
2007,8,1200401,96,2,antigo
2007,9,1200401,00,70,antigo
2007,9,1200401,01,3,antigo
2007,9,1200401,10,33,antigo
2007,9,1200401,11,1,antigo
2007,9,1200401,28,5,antigo
2007,9,1200401,41,-2,antigo
2007,9,1200401,43,-3,antigo
2007,9,1200401,45,0,antigo
2007,9,1200401,46,45,antigo
2007,9,1200401,47,-9,antigo
2007,9,1200401,49,3,antigo
2007,9,1200401,52,-1,antigo
2007,9,1200401,56,-1,antigo
2007,9,1200401,61,-2,antigo
2007,9,1200401,66,1,antigo
2007,9,1200401,69,4,antigo
2007,9,1200401,85,5,antigo
2007,9,1200401,86,1,antigo
2007,9,1200401,94,0,antigo
2007,10,1200401,00,37,antigo
2007,10,1200401,01,-3,antigo
2007,10,1200401,10,-9,antigo
2007,10,1200401,11,7,antigo
2007,10,1200401,16,2,antigo
2007,10,1200401,28,1,antigo
2007,10,1200401,31,5,antigo
2007,10,1200401,33,1,antigo
2007,10,1200401,41,-2,antigo
2007,10,1200401,43,-4,antigo
2007,10,1200401,45,3,antigo
2007,10,1200401,46,11,antigo
2007,10,1200401,47,15,antigo
2007,10,1200401,49,2,antigo
2007,10,1200401,52,1,antigo
2007,10,1200401,56,-1,antigo
2007,10,1200401,61,1,antigo
2007,10,1200401,66,0,antigo
2007,10,1200401,68,1,antigo
2007,10,1200401,69,1,antigo
2007,10,1200401,77,0,antigo
2007,10,1200401,85,-5,antigo
2007,10,1200401,86,-3,antigo
2007,10,1200401,94,1,antigo
2007,10,1200401,95,1,antigo
2007,10,1200401,96,1,antigo
2007,11,1200401,00,-132,antigo
2007,11,1200401,01,0,antigo
2007,11,1200401,03,1,antigo
2007,11,1200401,10,-22,antigo
2007,11,1200401,11,-4,antigo
2007,11,1200401,14,1,antigo
2007,11,1200401,16,4,antigo
2007,11,1200401,31,0,antigo
2007,11,1200401,41,13,antigo
2007,11,1200401,45,1,antigo
2007,11,1200401,46,4,antigo
2007,11,1200401,47,82,antigo
2007,11,1200401,49,2,antigo
2007,11,1200401,56,-5,antigo
2007,11,1200401,61,1,antigo
2007,11,1200401,66,1,antigo
2007,11,1200401,69,1,antigo
2007,11,1200401,71,-3,antigo
2007,11,1200401,77,-1,antigo
2007,11,1200401,82,2,antigo
2007,11,1200401,85,1,antigo
2007,11,1200401,86,1,antigo
2007,11,1200401,93,1,antigo
2007,11,1200401,94,2,antigo
2007,11,1200401,95,-1,antigo
2007,11,1200401,97,1,antigo
2007,12,1200401,00,-531,antigo
2007,12,1200401,01,17,antigo
2007,12,1200401,10,20,antigo
2007,12,1200401,11,5,antigo
2007,12,1200401,23,-5,antigo
2007,12,1200401,31,-1,antigo
2007,12,1200401,41,-5,antigo
2007,12,1200401,43,-1,antigo
2007,12,1200401,45,0,antigo
2007,12,1200401,46,3,antigo
2007,12,1200401,47,34,antigo
2007,12,1200401,49,2,antigo
2007,12,1200401,56,6,antigo
2007,12,1200401,59,-1,antigo
2007,12,1200401,61,-1,antigo
2007,12,1200401,64,1,antigo
2007,12,1200401,69,1,antigo
2007,12,1200401,74,-1,antigo
2007,12,1200401,82,1,antigo
2007,12,1200401,85,1,antigo
2007,12,1200401,86,-3,antigo
2007,12,1200401,95,-1,antigo
2008,1,1200401,00,4,antigo
2008,1,1200401,01,76,antigo
2008,1,1200401,10,-15,antigo
2008,1,1200401,11,5,antigo
2008,1,1200401,13,3,antigo
2008,1,1200401,14,-4,antigo
2008,1,1200401,15,0,antigo
2008,1,1200401,16,-9,antigo
2008,1,1200401,17,-2,antigo
2008,1,1200401,18,2,antigo
2008,1,1200401,22,-1,antigo
2008,1,1200401,23,-5,antigo
2008,1,1200401,24,1,antigo
2008,1,1200401,25,2,antigo
2008,1,1200401,27,2,antigo
2008,1,1200401,28,-1,antigo
2008,1,1200401,31,2,antigo
2008,1,1200401,33,-1,antigo
2008,1,1200401,35,-1,antigo
2008,1,1200401,36,-1,antigo
2008,1,1200401,38,-2,antigo
2008,1,1200401,41,56,antigo
2008,1,1200401,42,-33,antigo
2008,1,1200401,43,144,antigo
2008,1,1200401,45,4,antigo
2008,1,1200401,46,7,antigo
2008,1,1200401,47,-165,antigo
2008,1,1200401,49,-22,antigo
2008,1,1200401,51,1,antigo
2008,1,1200401,52,-1,antigo
2008,1,1200401,53,-1,antigo
2008,1,1200401,55,6,antigo
2008,1,1200401,56,5,antigo
2008,1,1200401,58,-1,antigo
2008,1,1200401,59,-3,antigo
2008,1,1200401,60,-2,antigo
2008,1,1200401,61,-2,antigo
2008,1,1200401,63,1,antigo
2008,1,1200401,64,5,antigo
2008,1,1200401,65,-6,antigo
2008,1,1200401,66,0,antigo
2008,1,1200401,68,-1,antigo
2008,1,1200401,69,7,antigo
2008,1,1200401,71,0,antigo
2008,1,1200401,72,-154,antigo
2008,1,1200401,73,1,antigo
2008,1,1200401,74,2,antigo
2008,1,1200401,77,-19,antigo
2008,1,1200401,78,-66,antigo
2008,1,1200401,79,3,antigo
2008,1,1200401,80,9,antigo
2008,1,1200401,81,17,antigo
2008,1,1200401,82,6,antigo
2008,1,1200401,84,-14,antigo
2008,1,1200401,85,-16,antigo
2008,1,1200401,86,-1,antigo
2008,1,1200401,88,6,antigo
2008,1,1200401,93,4,antigo
2008,1,1200401,94,-379,antigo
2008,1,1200401,95,-3,antigo
2008,1,1200401,96,1,antigo
2008,1,1200401,97,-1,antigo
2008,2,1200401,00,3,antigo
2008,2,1200401,01,-41,antigo
2008,2,1200401,02,-1,antigo
2008,2,1200401,10,-6,antigo
2008,2,1200401,11,-2,antigo
2008,2,1200401,13,-5,antigo
2008,2,1200401,14,-7,antigo
2008,2,1200401,15,-1,antigo
2008,2,1200401,16,3,antigo
2008,2,1200401,18,0,antigo
2008,2,1200401,20,1,antigo
2008,2,1200401,23,-6,antigo
2008,2,1200401,25,-3,antigo
2008,2,1200401,26,-2,antigo
2008,2,1200401,27,-2,antigo
2008,2,1200401,31,2,antigo
2008,2,1200401,33,-1,antigo
2008,2,1200401,35,16,antigo
2008,2,1200401,36,1,antigo
2008,2,1200401,38,8,antigo
2008,2,1200401,41,29,antigo
2008,2,1200401,42,-167,antigo
2008,2,1200401,43,24,antigo
2008,2,1200401,45,8,antigo
2008,2,1200401,46,-25,antigo
2008,2,1200401,47,-61,antigo
