ano,mes,cnae_divisao,saldo_nacional,fonte
2007,1,00,65218,antigo
2007,1,01,4286,antigo
2007,1,02,260,antigo
2007,1,03,120,antigo
2007,1,05,2,antigo
2007,1,06,2,antigo
2007,1,07,11,antigo
2007,1,08,94,antigo
2007,1,09,1,antigo
2007,1,10,705,antigo
2007,1,11,29,antigo
2007,1,13,172,antigo
2007,1,14,912,antigo
2007,1,15,272,antigo
2007,1,16,185,antigo
2007,1,17,69,antigo
2007,1,18,113,antigo
2007,1,19,139,antigo
2007,1,20,295,antigo
2007,1,21,8,antigo
2007,1,22,396,antigo
2007,1,23,157,antigo
2007,1,24,71,antigo
2007,1,25,263,antigo
2007,1,26,37,antigo
2007,1,27,95,antigo
2007,1,28,176,antigo
2007,1,29,81,antigo
2007,1,30,14,antigo
2007,1,31,130,antigo
2007,1,32,102,antigo
2007,1,33,115,antigo
2007,1,35,18,antigo
2007,1,37,30,antigo
2007,1,38,197,antigo
2007,1,39,0,antigo
2007,1,41,3177,antigo
2007,1,42,1248,antigo
2007,1,43,1059,antigo
2007,1,45,1635,antigo
2007,1,46,1467,antigo
2007,1,47,9223,antigo
2007,1,49,901,antigo
2007,1,50,10,antigo
2007,1,51,4,antigo
2007,1,52,841,antigo
2007,1,53,85,antigo
2007,1,55,349,antigo
2007,1,56,3042,antigo
2007,1,58,43,antigo
2007,1,59,53,antigo
2007,1,60,32,antigo
2007,1,61,94,antigo
2007,1,62,60,antigo
2007,1,63,296,antigo
2007,1,64,84,antigo
2007,1,65,96,antigo
2007,1,66,97,antigo
2007,1,68,164,antigo
2007,1,69,424,antigo
2007,1,70,71,antigo
2007,1,71,258,antigo
2007,1,72,3,antigo
2007,1,73,37,antigo
2007,1,74,117,antigo
2007,1,75,20,antigo
2007,1,77,210,antigo
2007,1,78,412,antigo
2007,1,79,86,antigo
2007,1,80,93,antigo
2007,1,81,756,antigo
2007,1,82,733,antigo
2007,1,84,11,antigo
2007,1,85,719,antigo
2007,1,86,820,antigo
2007,1,87,26,antigo
2007,1,88,23,antigo
2007,1,90,13,antigo
2007,1,91,188,antigo
2007,1,92,55,antigo
2007,1,93,360,antigo
2007,1,94,541,antigo
2007,1,95,139,antigo
2007,1,96,426,antigo
2007,1,97,60,antigo
2007,1,99,32,antigo
2007,2,00,102605,antigo
2007,2,01,5749,antigo
2007,2,02,447,antigo
2007,2,03,27,antigo
2007,2,05,13,antigo
2007,2,06,1,antigo
2007,2,07,3,antigo
2007,2,08,176,antigo
2007,2,09,12,antigo
2007,2,10,978,antigo
2007,2,11,14,antigo
2007,2,13,180,antigo
2007,2,14,1199,antigo
2007,2,15,756,antigo
2007,2,16,200,antigo
2007,2,17,83,antigo
2007,2,18,82,antigo
2007,2,19,193,antigo
2007,2,20,126,antigo
2007,2,21,2,antigo
2007,2,22,372,antigo
2007,2,23,190,antigo
2007,2,24,50,antigo
2007,2,25,462,antigo
2007,2,26,126,antigo
2007,2,27,52,antigo
2007,2,28,119,antigo
2007,2,29,44,antigo
2007,2,30,20,antigo
2007,2,31,137,antigo
2007,2,32,97,antigo
2007,2,33,149,antigo
2007,2,35,31,antigo
2007,2,36,4,antigo
2007,2,37,4,antigo
2007,2,38,194,antigo
2007,2,39,0,antigo
2007,2,41,3584,antigo
2007,2,42,2190,antigo
2007,2,43,989,antigo
2007,2,45,1524,antigo
2007,2,46,1793,antigo
2007,2,47,9906,antigo
2007,2,49,1149,antigo
2007,2,50,-3,antigo
2007,2,51,2,antigo
2007,2,52,420,antigo
2007,2,53,117,antigo
2007,2,55,581,antigo
2007,2,56,2782,antigo
2007,2,58,28,antigo
2007,2,59,88,antigo
2007,2,60,5,antigo
2007,2,61,32,antigo
2007,2,62,39,antigo
2007,2,63,234,antigo
2007,2,64,52,antigo
2007,2,65,28,antigo
2007,2,66,81,antigo
2007,2,68,88,antigo
2007,2,69,225,antigo
2007,2,70,75,antigo
2007,2,71,279,antigo
2007,2,72,2,antigo
2007,2,73,27,antigo
2007,2,74,128,antigo
2007,2,75,8,antigo
2007,2,77,213,antigo
2007,2,78,247,antigo
2007,2,79,92,antigo
2007,2,80,71,antigo
2007,2,81,876,antigo
2007,2,82,641,antigo
2007,2,84,17,antigo
2007,2,85,2151,antigo
2007,2,86,795,antigo
2007,2,87,30,antigo
2007,2,88,64,antigo
2007,2,90,35,antigo
2007,2,91,10,antigo
2007,2,92,9,antigo
2007,2,93,153,antigo
2007,2,94,620,antigo
2007,2,95,145,antigo
2007,2,96,440,antigo
2007,2,97,60,antigo
2007,2,99,0,antigo
2007,3,00,89961,antigo
2007,3,01,6399,antigo
2007,3,02,552,antigo
2007,3,03,18,antigo
2007,3,05,13,antigo
2007,3,06,-5,antigo
2007,3,07,12,antigo
2007,3,08,141,antigo
2007,3,09,46,antigo
2007,3,10,1444,antigo
2007,3,11,47,antigo
2007,3,12,3,antigo
2007,3,13,261,antigo
2007,3,14,1705,antigo
2007,3,15,973,antigo
2007,3,16,364,antigo
2007,3,17,54,antigo
2007,3,18,112,antigo
2007,3,19,454,antigo
2007,3,20,118,antigo
2007,3,21,14,antigo
2007,3,22,447,antigo
2007,3,23,415,antigo
2007,3,24,48,antigo
2007,3,25,437,antigo
2007,3,26,104,antigo
2007,3,27,45,antigo
2007,3,28,234,antigo
2007,3,29,55,antigo
2007,3,30,30,antigo
2007,3,31,216,antigo
2007,3,32,97,antigo
2007,3,33,168,antigo
2007,3,35,46,antigo
2007,3,36,3,antigo
2007,3,37,26,antigo
2007,3,38,44,antigo
2007,3,41,4782,antigo
2007,3,42,2836,antigo
2007,3,43,1406,antigo
2007,3,45,1834,antigo
2007,3,46,2356,antigo
2007,3,47,12877,antigo
2007,3,49,1765,antigo
2007,3,50,42,antigo
2007,3,51,8,antigo
2007,3,52,418,antigo
2007,3,53,155,antigo
2007,3,55,415,antigo
2007,3,56,3088,antigo
2007,3,58,20,antigo
2007,3,59,69,antigo
2007,3,60,20,antigo
2007,3,61,42,antigo
2007,3,62,45,antigo
2007,3,63,178,antigo
2007,3,64,101,antigo
2007,3,65,24,antigo
2007,3,66,155,antigo
