ano,id_municipio,cnae_divisao,vinculos_ativos
2002,1200401,NA,57993
2003,1200401,NA,57061
2004,1200401,NA,61146
2005,1200401,NA,65148
2006,1200401,00,583
2006,1200401,01,1645
2006,1200401,02,19
2006,1200401,03,10
2006,1200401,08,346
2006,1200401,10,1109
2006,1200401,11,324
2006,1200401,12,5
2006,1200401,13,15
2006,1200401,14,117
2006,1200401,15,86
2006,1200401,16,550
2006,1200401,17,33
2006,1200401,18,82
2006,1200401,20,14
2006,1200401,21,3
2006,1200401,22,93
2006,1200401,23,441
2006,1200401,24,51
2006,1200401,25,87
2006,1200401,26,3
2006,1200401,27,23
2006,1200401,28,9
2006,1200401,29,32
2006,1200401,31,106
2006,1200401,32,33
2006,1200401,33,52
2006,1200401,35,511
2006,1200401,36,603
2006,1200401,38,109
2006,1200401,41,3069
2006,1200401,42,785
2006,1200401,43,628
2006,1200401,45,1299
2006,1200401,46,1368
2006,1200401,47,8439
2006,1200401,49,1455
2006,1200401,51,85
2006,1200401,52,267
2006,1200401,53,227
2006,1200401,55,409
2006,1200401,56,947
2006,1200401,58,72
2006,1200401,59,40
2006,1200401,60,203
2006,1200401,61,93
2006,1200401,62,31
2006,1200401,63,146
2006,1200401,64,488
2006,1200401,65,30
2006,1200401,66,19
2006,1200401,68,49
2006,1200401,69,146
2006,1200401,70,45
2006,1200401,71,82
2006,1200401,72,297
2006,1200401,73,30
2006,1200401,74,42
2006,1200401,75,13
2006,1200401,77,185
2006,1200401,78,116
2006,1200401,79,77
2006,1200401,80,936
2006,1200401,81,1092
2006,1200401,82,208
2006,1200401,84,33174
2006,1200401,85,3319
2006,1200401,86,1002
2006,1200401,88,290
2006,1200401,90,14
2006,1200401,91,312
2006,1200401,92,13
2006,1200401,93,155
2006,1200401,94,736
2006,1200401,95,87
2006,1200401,96,149
2006,1200401,97,27
2006,1200401,99,1
2007,1200401,00,2450
2007,1200401,01,1608
2007,1200401,02,30
2007,1200401,03,3
2007,1200401,08,124
2007,1200401,10,1171
2007,1200401,11,342
2007,1200401,12,3
2007,1200401,13,78
2007,1200401,14,105
2007,1200401,15,111
2007,1200401,16,704
2007,1200401,17,48
2007,1200401,18,83
2007,1200401,20,23
2007,1200401,21,4
2007,1200401,22,90
2007,1200401,23,507
2007,1200401,24,56
2007,1200401,25,101
2007,1200401,26,30
2007,1200401,27,21
2007,1200401,28,6
2007,1200401,29,33
2007,1200401,31,116
2007,1200401,32,61
2007,1200401,33,46
2007,1200401,35,289
2007,1200401,36,272
2007,1200401,38,111
2007,1200401,41,2274
2007,1200401,42,906
2007,1200401,43,1267
2007,1200401,45,1535
2007,1200401,46,1361
2007,1200401,47,8521
2007,1200401,49,1615
2007,1200401,51,109
2007,1200401,52,294
2007,1200401,53,237
2007,1200401,55,463
2007,1200401,56,1035
2007,1200401,58,62
2007,1200401,59,38
2007,1200401,60,218
2007,1200401,61,117
2007,1200401,62,37
2007,1200401,63,194
2007,1200401,64,553
2007,1200401,65,128
2007,1200401,66,30
2007,1200401,68,58
2007,1200401,69,95
2007,1200401,70,4
2007,1200401,71,83
2007,1200401,72,296
2007,1200401,73,16
2007,1200401,74,29
2007,1200401,75,13
2007,1200401,77,55
2007,1200401,78,373
2007,1200401,79,70
2007,1200401,80,1036
2007,1200401,81,911
2007,1200401,82,245
2007,1200401,84,37453
2007,1200401,85,1791
2007,1200401,86,1531
2007,1200401,87,2
2007,1200401,88,293
2007,1200401,90,18
2007,1200401,91,327
2007,1200401,92,2
2007,1200401,93,164
2007,1200401,94,716
2007,1200401,95,87
2007,1200401,96,151
2007,1200401,97,32
2007,1200401,99,1
2008,1200401,00,782
2008,1200401,01,1751
2008,1200401,02,41
2008,1200401,03,4
2008,1200401,08,167
2008,1200401,10,1139
2008,1200401,11,346
2008,1200401,12,3
2008,1200401,13,56
2008,1200401,14,145
2008,1200401,15,94
2008,1200401,16,832
2008,1200401,17,39
2008,1200401,18,94
2008,1200401,20,21
2008,1200401,22,101
2008,1200401,23,533
2008,1200401,24,52
2008,1200401,25,109
2008,1200401,26,6
2008,1200401,27,42
2008,1200401,28,15
2008,1200401,29,52
2008,1200401,30,5
2008,1200401,31,183
2008,1200401,32,37
2008,1200401,33,25
2008,1200401,35,515
2008,1200401,36,415
2008,1200401,38,113
2008,1200401,41,3325
2008,1200401,42,838
2008,1200401,43,597
2008,1200401,45,1885
2008,1200401,46,1596
2008,1200401,47,9387
2008,1200401,49,1770
2008,1200401,51,101
2008,1200401,52,292
2008,1200401,53,229
2008,1200401,55,501
2008,1200401,56,1116
2008,1200401,58,77
2008,1200401,59,33
2008,1200401,60,170
2008,1200401,61,163
2008,1200401,62,13
2008,1200401,63,177
2008,1200401,64,542
2008,1200401,65,132
2008,1200401,66,24
2008,1200401,68,79
2008,1200401,69,144
2008,1200401,70,8
2008,1200401,71,143
2008,1200401,72,140
2008,1200401,73,21
2008,1200401,74,41
2008,1200401,75,14
2008,1200401,77,153
2008,1200401,78,486
2008,1200401,79,159
2008,1200401,80,1325
2008,1200401,81,1883
2008,1200401,82,276
2008,1200401,84,37423
2008,1200401,85,2979
2008,1200401,86,1688
2008,1200401,87,4
2008,1200401,88,327
2008,1200401,90,9
2008,1200401,91,322
2008,1200401,93,183
2008,1200401,94,877
2008,1200401,95,74
2008,1200401,96,185
2008,1200401,97,32
2008,1200401,99,1
2009,1200401,01,1708
2009,1200401,02,11
2009,1200401,03,5
2009,1200401,07,4
2009,1200401,08,178
2009,1200401,10,1211
2009,1200401,11,390
2009,1200401,12,2
2009,1200401,13,13
2009,1200401,14,108
2009,1200401,15,97
2009,1200401,16,795
2009,1200401,17,44
2009,1200401,18,111
2009,1200401,20,17
2009,1200401,22,153
2009,1200401,23,533
2009,1200401,24,21
2009,1200401,25,151
2009,1200401,27,35
2009,1200401,28,25
2009,1200401,29,54
2009,1200401,31,155
2009,1200401,32,31
2009,1200401,33,19
2009,1200401,35,537
2009,1200401,36,403
2009,1200401,38,113
2009,1200401,41,4298
2009,1200401,42,1118
2009,1200401,43,2022
2009,1200401,45,2033
2009,1200401,46,1903
2009,1200401,47,10014
2009,1200401,49,1851
2009,1200401,51,111
2009,1200401,52,299
2009,1200401,53,228
2009,1200401,55,504
2009,1200401,56,1287
2009,1200401,58,74
2009,1200401,59,27
2009,1200401,60,162
2009,1200401,61,143
2009,1200401,62,26
2009,1200401,63,164
2009,1200401,64,559
2009,1200401,65,150
2009,1200401,66,20
2009,1200401,68,129
2009,1200401,69,209
2009,1200401,70,173
2009,1200401,71,261
2009,1200401,72,141
2009,1200401,73,51
2009,1200401,74,435
2009,1200401,75,10
2009,1200401,77,226
2009,1200401,78,86
2009,1200401,79,171
2009,1200401,80,1467
2009,1200401,81,2096
2009,1200401,82,268
2009,1200401,84,37758
2009,1200401,85,1848
2009,1200401,86,2898
2009,1200401,87,7
2009,1200401,88,239
2009,1200401,90,8
2009,1200401,91,332
2009,1200401,93,390
2009,1200401,94,900
2009,1200401,95,85
2009,1200401,96,179
2009,1200401,97,37
2009,1200401,99,1
2010,1200401,01,1822
2010,1200401,02,16
2010,1200401,03,5
2010,1200401,08,176
2010,1200401,10,1339
2010,1200401,11,416
2010,1200401,12,2
2010,1200401,13,40
2010,1200401,14,150
2010,1200401,15,104
2010,1200401,16,1041
2010,1200401,17,34
2010,1200401,18,128
2010,1200401,19,2
2010,1200401,20,10
2010,1200401,22,151
2010,1200401,23,689
2010,1200401,24,17
2010,1200401,25,183
2010,1200401,26,2
2010,1200401,27,44
2010,1200401,28,36
2010,1200401,29,49
2010,1200401,31,158
2010,1200401,32,31
2010,1200401,33,13
2010,1200401,35,369
2010,1200401,36,521
2010,1200401,38,133
2010,1200401,41,4637
2010,1200401,42,1620
2010,1200401,43,1229
2010,1200401,45,1915
2010,1200401,46,2068
2010,1200401,47,10636
2010,1200401,49,1510
2010,1200401,51,128
2010,1200401,52,327
2010,1200401,53,203
2010,1200401,55,523
2010,1200401,56,1591
2010,1200401,58,83
2010,1200401,59,28
2010,1200401,60,225
2010,1200401,61,100
2010,1200401,62,51
2010,1200401,63,154
2010,1200401,64,637
2010,1200401,65,146
2010,1200401,66,127
2010,1200401,68,92
2010,1200401,69,358
2010,1200401,70,165
2010,1200401,71,160
2010,1200401,72,146
2010,1200401,73,55
2010,1200401,74,756
2010,1200401,75,21
2010,1200401,77,279
2010,1200401,78,295
2010,1200401,79,168
2010,1200401,80,1645
2010,1200401,81,2258
2010,1200401,82,194
2010,1200401,84,45578
2010,1200401,85,2980
2010,1200401,86,4055
2010,1200401,88,248
2010,1200401,90,6
2010,1200401,91,341
2010,1200401,93,178
2010,1200401,94,825
2010,1200401,95,140
2010,1200401,96,189
2010,1200401,97,25
2010,1200401,99,2
2011,1200401,01,1419
2011,1200401,02,14
2011,1200401,03,7
2011,1200401,08,295
2011,1200401,10,1412
2011,1200401,11,444
2011,1200401,12,2
2011,1200401,13,55
2011,1200401,14,160
2011,1200401,15,104
2011,1200401,16,1060
2011,1200401,17,32
2011,1200401,18,122
2011,1200401,19,1
2011,1200401,20,17
2011,1200401,22,156
2011,1200401,23,788
2011,1200401,24,16
2011,1200401,25,116
2011,1200401,27,42
2011,1200401,28,23
2011,1200401,29,72
2011,1200401,31,163
2011,1200401,32,35
2011,1200401,33,29
2011,1200401,35,391
2011,1200401,36,498
2011,1200401,38,198
2011,1200401,41,3803
2011,1200401,42,1670
2011,1200401,43,825
2011,1200401,45,1928
2011,1200401,46,2641
2011,1200401,47,13095
2011,1200401,49,1793
2011,1200401,51,118
2011,1200401,52,434
2011,1200401,53,244
2011,1200401,55,579
2011,1200401,56,1812
2011,1200401,58,86
2011,1200401,59,59
2011,1200401,60,174
2011,1200401,61,177
2011,1200401,62,38
2011,1200401,63,163
2011,1200401,64,697
2011,1200401,65,140
2011,1200401,66,60
2011,1200401,68,89
2011,1200401,69,458
2011,1200401,70,184
2011,1200401,71,222
2011,1200401,72,155
2011,1200401,73,38
2011,1200401,74,165
2011,1200401,75,11
2011,1200401,77,745
2011,1200401,78,442
2011,1200401,79,106
2011,1200401,80,2058
2011,1200401,81,2752
2011,1200401,82,740
2011,1200401,84,40782
2011,1200401,85,3297
2011,1200401,86,4379
2011,1200401,88,298
2011,1200401,90,8
2011,1200401,91,218
2011,1200401,93,228
2011,1200401,94,962
2011,1200401,95,194
2011,1200401,96,190
2011,1200401,97,29
2011,1200401,99,2
2012,1200401,01,1327
2012,1200401,02,15
2012,1200401,03,8
2012,1200401,07,1
2012,1200401,08,318
2012,1200401,10,1254
2012,1200401,11,395
2012,1200401,12,2
2012,1200401,13,43
2012,1200401,14,165
2012,1200401,15,106
2012,1200401,16,903
2012,1200401,17,6
2012,1200401,18,136
2012,1200401,19,1
2012,1200401,20,70
2012,1200401,22,194
2012,1200401,23,787
2012,1200401,24,16
2012,1200401,25,102
2012,1200401,26,4
2012,1200401,27,4
2012,1200401,28,27
2012,1200401,29,59
2012,1200401,30,21
2012,1200401,31,123
2012,1200401,32,41
2012,1200401,33,27
2012,1200401,35,607
2012,1200401,36,412
2012,1200401,38,186
2012,1200401,41,4565
2012,1200401,42,930
2012,1200401,43,1475
2012,1200401,45,2168
2012,1200401,46,2741
2012,1200401,47,13545
2012,1200401,49,1880
2012,1200401,51,103
2012,1200401,52,481
2012,1200401,53,269
2012,1200401,55,615
2012,1200401,56,1872
2012,1200401,58,86
2012,1200401,59,50
2012,1200401,60,253
2012,1200401,61,123
2012,1200401,62,37
2012,1200401,63,178
2012,1200401,64,708
2012,1200401,65,152
2012,1200401,66,62
2012,1200401,68,84
2012,1200401,69,950
2012,1200401,70,161
2012,1200401,71,259
2012,1200401,72,157
2012,1200401,73,31
2012,1200401,74,173
2012,1200401,75,15
2012,1200401,77,818
2012,1200401,78,802
2012,1200401,79,93
2012,1200401,80,2209
2012,1200401,81,2714
2012,1200401,82,686
2012,1200401,84,40528
2012,1200401,85,3448
2012,1200401,86,4549
2012,1200401,88,423
2012,1200401,90,5
2012,1200401,91,226
2012,1200401,93,246
2012,1200401,94,960
2012,1200401,95,225
2012,1200401,96,176
2012,1200401,97,8
2012,1200401,99,2
2013,1200401,01,1418
2013,1200401,02,30
2013,1200401,03,11
2013,1200401,07,1
2013,1200401,08,233
2013,1200401,10,1182
2013,1200401,11,416
2013,1200401,13,39
2013,1200401,14,216
2013,1200401,15,109
2013,1200401,16,697
2013,1200401,17,2
2013,1200401,18,132
2013,1200401,19,1
2013,1200401,20,76
2013,1200401,22,172
2013,1200401,23,953
2013,1200401,24,17
2013,1200401,25,112
2013,1200401,27,17
2013,1200401,28,27
2013,1200401,29,56
