ano,cnae_divisao,emprego_nacional
2006,00,668112
2006,01,1264529
2006,02,118157
2006,03,18524
2006,05,6116
2006,06,22331
2006,07,46507
2006,08,75746
2006,09,29817
2006,10,1147833
2006,11,104155
2006,12,15839
2006,13,291557
2006,14,569296
2006,15,386501
2006,16,226328
2006,17,153545
2006,18,101276
2006,19,97533
2006,20,239057
2006,21,83503
2006,22,385076
2006,23,324250
2006,24,220871
2006,25,410868
2006,26,140510
2006,27,170867
2006,28,281950
2006,29,380448
2006,30,67076
2006,31,213972
2006,32,105054
2006,33,87512
2006,35,107023
2006,36,116155
2006,37,36593
2006,38,103241
2006,39,1289
2006,41,628988
2006,42,513301
2006,43,292737
2006,45,673003
2006,46,1007107
2006,47,4654042
2006,49,1170794
2006,50,23118
2006,51,39906
2006,52,230597
2006,53,139200
2006,55,245779
2006,56,889213
2006,58,109173
2006,59,21056
2006,60,75824
2006,61,106093
2006,62,158747
2006,63,152856
2006,64,513472
2006,65,95649
2006,66,73540
2006,68,69363
2006,69,171965
2006,70,75527
2006,71,146506
2006,72,37585
2006,73,54394
2006,74,64172
2006,75,3967
2006,77,107839
2006,78,503463
2006,79,48076
2006,80,417466
2006,81,1005320
2006,82,781540
2006,84,7325587
2006,85,1172228
2006,86,1160337
2006,87,79323
2006,88,83728
2006,90,11740
2006,91,6158
2006,92,13424
2006,93,149117
2006,94,786347
2006,95,70408
2006,96,158001
2006,97,10610
2006,99,7846
2007,00,711423
2007,01,1278462
2007,02,131498
2007,03,17048
2007,05,5534
2007,06,24312
2007,07,48257
2007,08,77494
2007,09,27733
2007,10,1258678
2007,11,110334
2007,12,15761
2007,13,306137
2007,14,609740
2007,15,392634
2007,16,224136
2007,17,158324
2007,18,104938
2007,19,107940
2007,20,240849
2007,21,84867
2007,22,395845
2007,23,342971
2007,24,245729
2007,25,452729
2007,26,153493
2007,27,187996
2007,28,328376
2007,29,434486
2007,30,76241
2007,31,225545
2007,32,111567
2007,33,98676
2007,35,116071
2007,36,117715
2007,37,37370
2007,38,115361
2007,39,1233
2007,41,717478
2007,42,603358
2007,43,343042
2007,45,749731
2007,46,1120012
2007,47,4971930
2007,49,1219693
2007,50,25758
2007,51,51682
2007,52,257005
2007,53,159682
2007,55,257532
2007,56,975555
2007,58,109433
2007,59,20182
2007,60,77267
2007,61,123166
2007,62,169948
2007,63,120161
2007,64,525384
2007,65,103347
2007,66,80760
2007,68,71599
2007,69,189787
2007,70,87778
2007,71,170835
2007,72,44873
2007,73,57714
2007,74,61027
2007,75,4175
2007,77,120491
2007,78,540815
2007,79,49945
2007,80,450869
2007,81,1062222
2007,82,874639
2007,84,7695193
2007,85,1341109
2007,86,1187094
2007,87,80256
2007,88,81627
2007,90,12481
2007,91,7154
2007,92,3281
2007,93,149928
2007,94,841259
2007,95,81804
2007,96,163149
2007,97,12378
2007,99,4339
2008,00,456583
2008,01,1319184
2008,02,124273
2008,03,18347
2008,05,5744
2008,06,26796
2008,07,55115
2008,08,77747
2008,09,39394
2008,10,1293255
2008,11,111683
2008,12,16034
2008,13,303384
2008,14,637152
2008,15,375225
2008,16,205442
2008,17,161354
2008,18,112107
2008,19,128190
2008,20,247786
2008,21,90855
2008,22,412755
2008,23,362114
2008,24,253744
2008,25,482970
2008,26,155225
2008,27,193767
2008,28,354437
2008,29,444282
2008,30,85405
2008,31,228942
2008,32,117223
2008,33,105349
2008,35,116440
2008,36,118965
2008,37,35538
2008,38,126538
2008,39,1156
2008,41,850834
2008,42,719158
2008,43,414166
2008,45,811478
2008,46,1214546
2008,47,5310756
